Source;Target;Type;Id;Label;Weight
205;953;Directed;6030;;2.0
205;955;Directed;6032;;1.0
205;956;Directed;6033;;1.0
205;1020;Directed;6097;;1.0
205;1036;Directed;6113;;2.0
205;1085;Directed;6162;;1.0
205;150;Directed;5227;;3.0
205;251;Directed;5328;;1.0
205;278;Directed;5355;;2.0
205;299;Directed;5376;;1.0
205;378;Directed;5455;;3.0
205;444;Directed;5521;;1.0
205;580;Directed;5657;;1.0
205;657;Directed;5734;;1.0
205;680;Directed;5757;;1.0
205;970;Directed;6047;;1.0
205;151;Directed;5228;;1.0
205;227;Directed;5304;;1.0
205;359;Directed;5436;;1.0
205;601;Directed;5678;;1.0
205;965;Directed;6042;;1.0
205;152;Directed;5229;;1.0
205;1038;Directed;6115;;1.0
205;153;Directed;5230;;1.0
205;255;Directed;5332;;1.0
205;616;Directed;5693;;3.0
205;154;Directed;5231;;1.0
205;155;Directed;5232;;1.0
205;271;Directed;5348;;1.0
205;156;Directed;5233;;1.0
205;835;Directed;5912;;2.0
205;905;Directed;5982;;3.0
205;157;Directed;5234;;1.0
205;751;Directed;5828;;1.0
205;919;Directed;5996;;3.0
205;944;Directed;6021;;2.0
205;158;Directed;5235;;1.0
205;159;Directed;5236;;1.0
205;189;Directed;5266;;2.0
205;649;Directed;5726;;1.0
205;160;Directed;5237;;1.0
205;268;Directed;5345;;1.0
205;161;Directed;5238;;2.0
205;306;Directed;5383;;1.0
205;333;Directed;5410;;1.0
205;545;Directed;5622;;1.0
205;764;Directed;5841;;2.0
205;820;Directed;5897;;1.0
205;162;Directed;5239;;2.0
205;1092;Directed;6169;;3.0
205;176;Directed;5253;;1.0
205;182;Directed;5259;;1.0
205;225;Directed;5302;;1.0
205;233;Directed;5310;;1.0
205;259;Directed;5336;;2.0
205;283;Directed;5360;;1.0
205;302;Directed;5379;;1.0
205;325;Directed;5402;;2.0
205;348;Directed;5425;;2.0
205;369;Directed;5446;;1.0
205;370;Directed;5447;;3.0
205;384;Directed;5461;;1.0
205;409;Directed;5486;;1.0
205;439;Directed;5516;;1.0
205;440;Directed;5517;;1.0
205;494;Directed;5571;;1.0
205;578;Directed;5655;;3.0
205;579;Directed;5656;;3.0
205;583;Directed;5660;;1.0
205;640;Directed;5717;;1.0
205;641;Directed;5718;;1.0
205;652;Directed;5729;;1.0
205;726;Directed;5803;;2.0
205;737;Directed;5814;;1.0
205;787;Directed;5864;;1.0
205;791;Directed;5868;;1.0
205;850;Directed;5927;;1.0
205;874;Directed;5951;;1.0
205;923;Directed;6000;;2.0
205;925;Directed;6002;;5.0
205;958;Directed;6035;;1.0
205;966;Directed;6043;;1.0
205;983;Directed;6060;;1.0
205;985;Directed;6062;;1.0
205;986;Directed;6063;;1.0
205;1029;Directed;6106;;1.0
205;1054;Directed;6131;;1.0
205;165;Directed;5242;;1.0
205;168;Directed;5245;;1.0
205;166;Directed;5243;;1.0
205;337;Directed;5414;;1.0
205;167;Directed;5244;;1.0
205;423;Directed;5500;;1.0
205;1023;Directed;6100;;1.0
205;203;Directed;5280;;1.0
205;248;Directed;5325;;1.0
205;171;Directed;5248;;1.0
205;172;Directed;5249;;1.0
205;364;Directed;5441;;1.0
205;801;Directed;5878;;1.0
205;935;Directed;6012;;1.0
205;396;Directed;5473;;1.0
205;465;Directed;5542;;3.0
205;794;Directed;5871;;1.0
205;870;Directed;5947;;1.0
205;911;Directed;5988;;1.0
205;1101;Directed;6178;;1.0
205;226;Directed;5303;;3.0
205;587;Directed;5664;;3.0
205;749;Directed;5826;;2.0
205;777;Directed;5854;;2.0
205;893;Directed;5970;;1.0
205;945;Directed;6022;;1.0
205;964;Directed;6041;;5.0
205;1071;Directed;6148;;1.0
205;178;Directed;5255;;1.0
205;611;Directed;5688;;4.0
205;179;Directed;5256;;1.0
205;598;Directed;5675;;1.0
205;1057;Directed;6134;;1.0
205;180;Directed;5257;;1.0
205;770;Directed;5847;;1.0
205;184;Directed;5261;;1.0
205;534;Directed;5611;;1.0
205;187;Directed;5264;;1.0
205;327;Directed;5404;;1.0
205;404;Directed;5481;;1.0
205;479;Directed;5556;;1.0
205;832;Directed;5909;;2.0
205;930;Directed;6007;;1.0
205;270;Directed;5347;;1.0
205;331;Directed;5408;;1.0
205;332;Directed;5409;;2.0
205;571;Directed;5648;;1.0
205;855;Directed;5932;;1.0
205;1058;Directed;6135;;1.0
205;193;Directed;5270;;1.0
205;798;Directed;5875;;1.0
205;823;Directed;5900;;2.0
205;194;Directed;5271;;1.0
205;861;Directed;5938;;1.0
205;1031;Directed;6108;;1.0
205;1045;Directed;6122;;1.0
205;195;Directed;5272;;1.0
205;563;Directed;5640;;1.0
205;196;Directed;5273;;1.0
205;197;Directed;5274;;1.0
205;249;Directed;5326;;1.0
205;338;Directed;5415;;1.0
205;934;Directed;6011;;1.0
205;347;Directed;5424;;1.0
205;1046;Directed;6123;;1.0
205;397;Directed;5474;;1.0
205;528;Directed;5605;;1.0
205;1066;Directed;6143;;1.0
205;765;Directed;5842;;2.0
205;825;Directed;5902;;1.0
205;915;Directed;5992;;4.0
205;202;Directed;5279;;1.0
205;243;Directed;5320;;1.0
205;724;Directed;5801;;1.0
205;204;Directed;5281;;1.0
205;443;Directed;5520;;1.0
205;492;Directed;5569;;1.0
205;577;Directed;5654;;1.0
205;590;Directed;5667;;1.0
205;788;Directed;5865;;1.0
205;960;Directed;6037;;1.0
205;207;Directed;5284;;1.0
205;209;Directed;5286;;1.0
205;210;Directed;5287;;1.0
205;212;Directed;5289;;1.0
